T P Z_v Z_l W


T=223.15000
 40.00000	0.00000 100.00000 -9999.00000 3.36191	
 41.00000	0.00000 100.00000 -9999.00000 3.44433	
 42.00000	0.00000 100.00000 -9999.00000 3.52670	
 43.00000	0.00000 100.00000 -9999.00000 3.60901	
 44.00000	0.00000 100.00000 -9999.00000 3.69127	
 45.00000	0.00000 100.00000 -9999.00000 3.77348	
 46.00000	0.00000 100.00000 -9999.00000 3.85563	
 47.00000	0.00000 100.00000 -9999.00000 3.93774	
 48.00000	0.00000 100.00000 -9999.00000 4.01980	
 49.00000	0.00000 100.00000 -9999.00000 4.10180	
 50.00000	0.00000 100.00000 -9999.00000 4.18377	
 51.00000	0.00000 100.00000 -9999.00000 4.26568	
 52.00000	0.00000 100.00000 -9999.00000 4.34755	
 53.00000	0.00000 100.00000 -9999.00000 4.42938	
 54.00000	0.00000 100.00000 -9999.00000 4.51116	
 55.00000	0.00000 100.00000 -9999.00000 4.59290	
 56.00000	0.00000 100.00000 -9999.00000 4.67460	
 57.00000	0.00000 100.00000 -9999.00000 4.75625	
 58.00000	0.00000 100.00000 -9999.00000 4.83787	
 59.00000	0.00000 100.00000 -9999.00000 4.91944	
 60.00000	0.00000 100.00000 -9999.00000 5.00098	


T=323.15000
 1.00000	63.34065 36.65935 0.97761 0.16661	
 2.00000	60.39998 39.60002 0.95923 0.31230	
 3.00000	57.98466 42.01534 0.94257 0.44553	
 4.00000	55.82509 44.17491 0.92717 0.56927	
 5.00000	53.82046 46.17954 0.91284 0.68524	
 6.00000	51.92143 48.07857 0.89954 0.79459	
 7.00000	50.10025 49.89975 0.88725 0.89821	
 8.00000	48.33995 51.66005 0.87600 0.99677	
 9.00000	46.62933 53.37067 0.86586 1.09086	
 10.00000	44.96056 55.03944 0.85688 1.18093	
 11.00000	43.32779 56.67221 0.84911 1.26738	
 12.00000	41.72631 58.27369 0.84261 1.35054	
 13.00000	40.15211 59.84789 0.83743 1.43068	
 14.00000	38.60157 61.39843 0.83357 1.50806	
 15.00000	37.07131 62.92869 0.83105 1.58285	
 16.00000	35.55816 64.44184 0.82986 1.65524	
 17.00000	34.05907 65.94093 0.82996 1.72536	
 18.00000	32.57116 67.42884 0.83131 1.79333	
 19.00000	31.09170 68.90830 0.83383 1.85926	
 20.00000	29.61814 70.38186 0.83747 1.92323	
 21.00000	28.14810 71.85190 0.84215 1.98534	
 22.00000	26.67939 73.32061 0.84779 2.04564	
 23.00000	25.20996 74.79004 0.85431 2.10420	
 24.00000	23.73794 76.26206 0.86164 2.16109	
 25.00000	22.26158 77.73842 0.86971 2.21634	
 26.00000	20.77928 79.22072 0.87845 2.27003	
 27.00000	19.28954 80.71046 0.88780 2.32219	
 28.00000	17.79095 82.20905 0.89771 2.37286	
 29.00000	16.28218 83.71782 0.90813 2.42209	
 30.00000	14.76198 85.23802 0.91901 2.46991	
 31.00000	13.22916 86.77084 0.93030 2.51637	
 32.00000	11.68254 88.31746 0.94199 2.56150	
 33.00000	10.12103 89.87897 0.95402 2.60533	
 34.00000	8.54353 91.45647 0.96639 2.64790	
 35.00000	6.94897 93.05103 0.97905 2.68923	
 36.00000	5.33632 94.66368 0.99198 2.72936	
 37.00000	3.70451 96.29549 1.00518 2.76831	
 38.00000	2.05252 97.94748 1.01861 2.80611	
 39.00000	0.37930 99.62070 1.03227 2.84279	
 40.00000	0.00000 100.00000 -9999.00000 2.90564	
 41.00000	0.00000 100.00000 -9999.00000 2.97623	
 42.00000	0.00000 100.00000 -9999.00000 3.04675	
 43.00000	0.00000 100.00000 -9999.00000 3.11720	
 44.00000	0.00000 100.00000 -9999.00000 3.18759	
 45.00000	0.00000 100.00000 -9999.00000 3.25793	
 46.00000	0.00000 100.00000 -9999.00000 3.32820	
 47.00000	0.00000 100.00000 -9999.00000 3.39841	
 48.00000	0.00000 100.00000 -9999.00000 3.46857	
 49.00000	0.00000 100.00000 -9999.00000 3.53867	
 50.00000	0.00000 100.00000 -9999.00000 3.60872	
 51.00000	0.00000 100.00000 -9999.00000 3.67872	
