T P Z_v Z_l W


T=223.15000
 1.00000	55.92506 44.07494 0.94434 0.15774	
 2.00000	50.14067 49.85933 0.89131 0.28464	
 3.00000	45.00679 54.99321 0.83590 0.39371	
 4.00000	40.08862 59.91138 0.77682 0.48945	
 5.00000	35.38741 64.61259 0.71281 0.57562	
 6.00000	31.06236 68.93764 0.64230 0.65592	
 7.00000	27.38084 72.61916 0.56427 0.73433	
 8.00000	24.64649 75.35351 0.48630 0.81493	
 9.00000	22.75883 77.24117 0.43913 0.89869	
 10.00000	21.16180 78.83820 0.42869 0.98223	
 11.00000	19.62592 80.37408 0.43548 1.06397	
 12.00000	18.10958 81.89042 0.44966 1.14371	
 13.00000	16.60141 83.39859 0.46746 1.22146	
 14.00000	15.09574 84.90426 0.48725 1.29727	
 15.00000	13.58867 86.41133 0.50825 1.37120	
 16.00000	12.07715 87.92285 0.53002 1.44330	
 17.00000	10.55867 89.44133 0.55230 1.51364	
 18.00000	9.03104 90.96896 0.57494 1.58227	
 19.00000	7.49232 92.50768 0.59784 1.64922	
 20.00000	5.94076 94.05924 0.62093 1.71456	
 21.00000	4.37473 95.62527 0.64418 1.77832	
 22.00000	2.79269 97.20731 0.66754 1.84054	
 23.00000	1.19318 98.80682 0.69101 1.90127	
 24.00000	0.00000 100.00000 -9999.00000 1.96634	
 25.00000	0.00000 100.00000 -9999.00000 2.04722	
 26.00000	0.00000 100.00000 -9999.00000 2.12804	
 27.00000	0.00000 100.00000 -9999.00000 2.20879	
 28.00000	0.00000 100.00000 -9999.00000 2.28947	
 29.00000	0.00000 100.00000 -9999.00000 2.37009	
 30.00000	0.00000 100.00000 -9999.00000 2.45065	
 31.00000	0.00000 100.00000 -9999.00000 2.53115	
 32.00000	0.00000 100.00000 -9999.00000 2.61159	
 33.00000	0.00000 100.00000 -9999.00000 2.69197	
 34.00000	0.00000 100.00000 -9999.00000 2.77229	
 35.00000	0.00000 100.00000 -9999.00000 2.85256	
 36.00000	0.00000 100.00000 -9999.00000 2.93278	
 37.00000	0.00000 100.00000 -9999.00000 3.01294	
 38.00000	0.00000 100.00000 -9999.00000 3.09304	
 39.00000	0.00000 100.00000 -9999.00000 3.17310	
 40.00000	0.00000 100.00000 -9999.00000 3.25311	
 41.00000	0.00000 100.00000 -9999.00000 3.33306	
 42.00000	0.00000 100.00000 -9999.00000 3.41297	
 43.00000	0.00000 100.00000 -9999.00000 3.49283	
 44.00000	0.00000 100.00000 -9999.00000 3.57264	
 45.00000	0.00000 100.00000 -9999.00000 3.65241	
 46.00000	0.00000 100.00000 -9999.00000 3.73213	
 47.00000	0.00000 100.00000 -9999.00000 3.81181	
 48.00000	0.00000 100.00000 -9999.00000 3.89145	
 49.00000	0.00000 100.00000 -9999.00000 3.97104	
 50.00000	0.00000 100.00000 -9999.00000 4.05059	
 51.00000	0.00000 100.00000 -9999.00000 4.13010	
 52.00000	0.00000 100.00000 -9999.00000 4.20957	
